actions,state_space,scenario_seed,algorithm_seed,replicate,method,feasible,cost,exact_cc,cog,ncog,optimum_hit,runtime_s
10,1024,7777,1009007.0,8,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.007968093999807024
10,1024,7777,2009007.0,8,PSO,True,8.55,8.55,0.0,0.0,True,0.003452578999713296
10,1024,7777,3009007.0,8,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13533927699972992
10,1024,7777,4009007.0,8,Random,True,8.55,8.55,0.0,0.0,True,0.0012286829996810411
10,1024,7777,1009008.0,9,GA,True,8.55,8.55,0.0,0.0,True,0.007836637999844243
10,1024,7777,2009008.0,9,PSO,True,8.55,8.55,0.0,0.0,True,0.0032802630003061495
10,1024,7777,3009008.0,9,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13512257399997907
10,1024,7777,4009008.0,9,Random,True,9.55,8.55,1.0,0.11695906432748537,False,0.0011237260000598326
10,1024,7777,1009009.0,10,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.007745572000203538
10,1024,7777,2009009.0,10,PSO,True,8.55,8.55,0.0,0.0,True,0.0031787510001777264
10,1024,7777,3009009.0,10,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13063801499993133
10,1024,7777,4009009.0,10,Random,True,9.55,8.55,1.0,0.11695906432748537,False,0.0010752339999271499
10,1024,7777,1009010.0,11,GA,True,8.55,8.55,0.0,0.0,True,0.007399485999940225
10,1024,7777,2009010.0,11,PSO,True,8.55,8.55,0.0,0.0,True,0.003282516000126634
10,1024,7777,3009010.0,11,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13286232199970982
10,1024,7777,4009010.0,11,Random,True,8.55,8.55,0.0,0.0,True,0.0011099850003120082
10,1024,7777,1009011.0,12,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.007609368999965227
10,1024,7777,2009011.0,12,PSO,True,8.55,8.55,0.0,0.0,True,0.003213782999864634
10,1024,7777,3009011.0,12,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13205866399994193
10,1024,7777,4009011.0,12,Random,True,8.55,8.55,0.0,0.0,True,0.0011203110002497851
12,4096,7777,,0,CC-Exact,True,8.55,8.55,0.0,0.0,True,0.6017401480003173
12,4096,7777,,0,Greedy,True,9.3,8.55,0.75,0.08771929824561403,False,0.004059275000145135
12,4096,7777,1209000.0,1,GA,True,8.55,8.55,0.0,0.0,True,0.05535244700013209
12,4096,7777,2409000.0,1,PSO,True,8.55,8.55,0.0,0.0,True,0.13066171000036775
12,4096,7777,3609000.0,1,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.16946970300023168
12,4096,7777,4809000.0,1,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.06211256999995385
12,4096,7777,1209001.0,2,GA,True,8.55,8.55,0.0,0.0,True,0.02798377699991761
12,4096,7777,2409001.0,2,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.08744473299975652
12,4096,7777,3609001.0,2,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.1504794390002644
12,4096,7777,4809001.0,2,Random,True,10.15,8.55,1.5999999999999996,0.18713450292397654,False,0.0468428760000279
12,4096,7777,1209002.0,3,GA,True,8.55,8.55,0.0,0.0,True,0.025656886999968265
12,4096,7777,2409002.0,3,PSO,True,8.55,8.55,0.0,0.0,True,0.0590961109996897
12,4096,7777,3609002.0,3,NSGA-II,True,9.3,8.55,0.75,0.08771929824561403,False,0.1487555879998581
12,4096,7777,4809002.0,3,Random,True,10.15,8.55,1.5999999999999996,0.18713450292397654,False,0.04012362399998892
12,4096,7777,1209003.0,4,GA,True,10.65,8.55,2.0999999999999996,0.24561403508771923,False,0.04543952199992418
12,4096,7777,2409003.0,4,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.07199475000015809
12,4096,7777,3609003.0,4,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.14218646000017543
12,4096,7777,4809003.0,4,Random,True,10.55,8.55,2.0,0.23391812865497075,False,0.02877477700030795
12,4096,7777,1209004.0,5,GA,True,8.55,8.55,0.0,0.0,True,0.015170887000294897
12,4096,7777,2409004.0,5,PSO,True,8.55,8.55,0.0,0.0,True,0.02712523699983649
12,4096,7777,3609004.0,5,NSGA-II,True,9.3,8.55,0.75,0.08771929824561403,False,0.14036547399973642
12,4096,7777,4809004.0,5,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.020769959000062954
12,4096,7777,1209005.0,6,GA,True,8.55,8.55,0.0,0.0,True,0.016642202000184625
12,4096,7777,2409005.0,6,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.027892872000393254
12,4096,7777,3609005.0,6,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13813298299965027
12,4096,7777,4809005.0,6,Random,True,10.3,8.55,1.75,0.2046783625730994,False,0.019443260000116425
12,4096,7777,1209006.0,7,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.014184144999944692
12,4096,7777,2409006.0,7,PSO,True,8.55,8.55,0.0,0.0,True,0.016148816000168154
12,4096,7777,3609006.0,7,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.1400404390001313
12,4096,7777,4809006.0,7,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.016145980999681342
12,4096,7777,1209007.0,8,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.01597864199993637
12,4096,7777,2409007.0,8,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.01862961599999835
12,4096,7777,3609007.0,8,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.1396744230000877
12,4096,7777,4809007.0,8,Random,True,10.15,8.55,1.5999999999999996,0.18713450292397654,False,0.011380153000118298
12,4096,7777,1209008.0,9,GA,True,8.55,8.55,0.0,0.0,True,0.010614009999699192
12,4096,7777,2409008.0,9,PSO,True,8.55,8.55,0.0,0.0,True,0.013490290999925492
12,4096,7777,3609008.0,9,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13817135099998268
12,4096,7777,4809008.0,9,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.013550239999858604
12,4096,7777,1209009.0,10,GA,True,8.55,8.55,0.0,0.0,True,0.011537477999809198
12,4096,7777,2409009.0,10,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.018642704999820126
12,4096,7777,3609009.0,10,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13522087100000135
12,4096,7777,4809009.0,10,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.011185072999978729
12,4096,7777,1209010.0,11,GA,True,8.55,8.55,0.0,0.0,True,0.010788170999603608
12,4096,7777,2409010.0,11,PSO,True,8.55,8.55,0.0,0.0,True,0.0077948460002517095
12,4096,7777,3609010.0,11,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13474461999976484
12,4096,7777,4809010.0,11,Random,True,10.3,8.55,1.75,0.2046783625730994,False,0.008754176999900665
12,4096,7777,1209011.0,12,GA,True,8.55,8.55,0.0,0.0,True,0.009364888000163774
12,4096,7777,2409011.0,12,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.011214185999961046
12,4096,7777,3609011.0,12,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13441403699971488
12,4096,7777,4809011.0,12,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.007722898999872996
14,16384,7777,,0,CC-Exact,True,8.3,8.3,0.0,0.0,True,1.2914022710001518
14,16384,7777,,0,Greedy,True,9.3,8.3,1.0,0.12048192771084336,False,0.007286526999905618
14,16384,7777,1409000.0,1,GA,True,9.3,8.3,1.0,0.12048192771084336,False,0.08404047500016532
14,16384,7777,2809000.0,1,PSO,True,8.3,8.3,0.0,0.0,True,0.17733069599989904
14,16384,7777,4209000.0,1,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.18858599399982268
14,16384,7777,5609000.0,1,Random,True,8.55,8.3,0.25,0.03012048192771084,False,0.09269366100033949
14,16384,7777,1409001.0,2,GA,True,8.55,8.3,0.25,0.03012048192771084,False,0.06671413300000495
14,16384,7777,2809001.0,2,PSO,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.17467261199999484
14,16384,7777,4209001.0,2,NSGA-II,True,8.55,8.3,0.25,0.03012048192771084,False,0.17590807499982475
14,16384,7777,5609001.0,2,Random,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.08709660300019095
14,16384,7777,1409002.0,3,GA,True,8.3,8.3,0.0,0.0,True,0.07957948200009923
14,16384,7777,2809002.0,3,PSO,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.14424714200004018
14,16384,7777,4209002.0,3,NSGA-II,True,8.55,8.3,0.25,0.03012048192771084,False,0.1718641639999987
14,16384,7777,5609002.0,3,Random,True,9.55,8.3,1.25,0.1506024096385542,False,0.08352091000006112
14,16384,7777,1409003.0,4,GA,True,8.3,8.3,0.0,0.0,True,0.059823175000019546
14,16384,7777,2809003.0,4,PSO,True,9.3,8.3,1.0,0.12048192771084336,False,0.13419760399983716
14,16384,7777,4209003.0,4,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.1746401540003717
14,16384,7777,5609003.0,4,Random,True,9.3,8.3,1.0,0.12048192771084336,False,0.07378164400006426
14,16384,7777,1409004.0,5,GA,True,8.3,8.3,0.0,0.0,True,0.0407013660001212
14,16384,7777,2809004.0,5,PSO,True,9.3,8.3,1.0,0.12048192771084336,False,0.13431912500027465
14,16384,7777,4209004.0,5,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.1573955239996394
14,16384,7777,5609004.0,5,Random,True,9.3,8.3,1.0,0.12048192771084336,False,0.06835049399978743
14,16384,7777,1409005.0,6,GA,True,8.55,8.3,0.25,0.03012048192771084,False,0.05613713800039477
14,16384,7777,2809005.0,6,PSO,True,9.05,8.3,0.75,0.09036144578313252,False,0.10007893600004536
14,16384,7777,4209005.0,6,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.15140502899976127
14,16384,7777,5609005.0,6,Random,True,9.55,8.3,1.25,0.1506024096385542,False,0.07115817200019592
14,16384,7777,1409006.0,7,GA,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.052006056000209355
14,16384,7777,2809006.0,7,PSO,True,8.3,8.3,0.0,0.0,True,0.09017234099974303
14,16384,7777,4209006.0,7,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.1536994500002038
14,16384,7777,5609006.0,7,Random,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.06692637000014656
14,16384,7777,1409007.0,8,GA,True,8.55,8.3,0.25,0.03012048192771084,False,0.04525509699988106
14,16384,7777,2809007.0,8,PSO,True,8.55,8.3,0.25,0.03012048192771084,False,0.09281664500031184
14,16384,7777,4209007.0,8,NSGA-II,True,9.3,8.3,1.0,0.12048192771084336,False,0.16655728799969438
14,16384,7777,5609007.0,8,Random,True,10.0,8.3,1.6999999999999993,0.20481927710843364,False,0.056348423000144976
14,16384,7777,1409008.0,9,GA,True,8.3,8.3,0.0,0.0,True,0.02115573300034157
14,16384,7777,2809008.0,9,PSO,True,9.3,8.3,1.0,0.12048192771084336,False,0.0899947970001449
14,16384,7777,4209008.0,9,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.15596001299991258
14,16384,7777,5609008.0,9,Random,True,9.55,8.3,1.25,0.1506024096385542,False,0.05266085299990664
14,16384,7777,1409009.0,10,GA,True,9.3,8.3,1.0,0.12048192771084336,False,0.044917374000306154
14,16384,7777,2809009.0,10,PSO,True,9.0,8.3,0.6999999999999993,0.08433734939759027,False,0.09485543599976154
14,16384,7777,4209009.0,10,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.15289649299984376
14,16384,7777,5609009.0,10,Random,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.05664252199994735
14,16384,7777,1409010.0,11,GA,True,9.3,8.3,1.0,0.12048192771084336,False,0.02639530799979184
14,16384,7777,2809010.0,11,PSO,True,8.75,8.3,0.4499999999999993,0.05421686746987943,False,0.07463183299978482
14,16384,7777,4209010.0,11,NSGA-II,True,8.3,8.3,0.0,0.0,True,0.1479044679999788
14,16384,7777,5609010.0,11,Random,True,9.55,8.3,1.25,0.1506024096385542,False,0.0437290119998579
14,16384,7777,1409011.0,12,GA,True,9.3,8.3,1.0,0.12048192771084336,False,0.026769445999889285
14,16384,7777,2809011.0,12,PSO,True,8.55,8.3,0.25,0.03012048192771084,False,0.08020688799979325
14,16384,7777,4209011.0,12,NSGA-II,True,9.3,8.3,1.0,0.12048192771084336,False,0.1503620729999966
14,16384,7777,5609011.0,12,Random,True,8.55,8.3,0.25,0.03012048192771084,False,0.04768806600031894
16,65536,7777,,0,CC-Exact,True,7.75,7.75,0.0,0.0,True,2.510878610999953
16,65536,7777,,0,Greedy,True,8.5,7.75,0.75,0.0967741935483871,False,0.006668194999747357
16,65536,7777,1609000.0,1,GA,True,7.75,7.75,0.0,0.0,True,0.09365330799982985
