nodes,damage,seed,mode_a,mode_b,delta_coverage,delta_reliability,delta_cc,matched_001,matched_002,matched_005
60,0.45,202,clustered,coverage-critical,0.010330578512396715,0.0838046971095193,2.9499999999999993,False,False,False
60,0.45,202,gateway-near,peripheral,0.026859504132231482,0.4221789863211352,6.050000000000001,False,False,False
60,0.45,202,gateway-near,coverage-critical,0.004132231404958664,0.2659449202574934,1.4000000000000004,False,False,False
60,0.45,202,peripheral,coverage-critical,0.030991735537190146,0.15623406606364182,4.65,False,False,False
60,0.45,303,random,clustered,0.14462809917355368,0.0983448426913742,4.1000000000000005,False,False,False
60,0.45,303,random,gateway-near,0.13636363636363635,0.2813003835804281,7.3500000000000005,False,False,False
60,0.45,303,random,peripheral,0.23553719008264462,0.21062546203467103,1.2999999999999998,False,False,False
60,0.45,303,random,coverage-critical,0.1797520661157025,0.04888849106692539,1.15,False,False,False
60,0.45,303,clustered,gateway-near,0.008264462809917328,0.1829555408890539,3.25,False,False,False
60,0.45,303,clustered,peripheral,0.09090909090909094,0.30897030472604525,2.8000000000000007,False,False,False
60,0.45,303,clustered,coverage-critical,0.03512396694214881,0.14723333375829958,5.25,False,False,False
60,0.45,303,gateway-near,peripheral,0.09917355371900827,0.4919258456150991,6.050000000000001,False,False,False
60,0.45,303,gateway-near,coverage-critical,0.04338842975206614,0.33018887464735347,8.5,False,False,False
60,0.45,303,peripheral,coverage-critical,0.05578512396694213,0.16173697096774564,2.4499999999999997,False,False,False
90,0.15,101,random,clustered,0.05165289256198358,0.015676401351498476,0.5499999999999998,False,False,False
90,0.15,101,random,gateway-near,0.016528925619834878,0.1289300097728877,1.6000000000000005,False,False,False
90,0.15,101,random,peripheral,0.04132231404958697,0.040975466373362385,0.5499999999999998,False,False,True
90,0.15,101,random,coverage-critical,0.053719008264462964,0.020709565118554513,1.0,False,False,False
90,0.15,101,clustered,gateway-near,0.0351239669421487,0.14460641112438616,2.1500000000000004,False,False,False
90,0.15,101,clustered,peripheral,0.010330578512396604,0.02529906502186391,0.0,False,False,True
90,0.15,101,clustered,coverage-critical,0.0020661157024793875,0.005033163767056037,0.4500000000000002,True,True,True
