mask,cost,steps,coverage,reliability,latency_ms,energy_mj,satisfies
27,4.5,4,0.6735537190082644,0.4549664013263088,42.67617595357919,0.19658379394405165,False
28,3.75,3,0.6652892561983471,0.48207060999018825,42.74821830551582,0.1955777777397086,False
29,4.75,4,0.6900826446280992,0.47891694085205777,42.637907070177974,0.1941203960913196,False
30,4.75,4,0.6673553719008265,0.4753580546000417,42.76246808899853,0.19452191633445037,False
31,5.75,5,0.6900826446280992,0.472522650769275,42.65525561017214,0.19314560704263062,False
32,2.4,1,0.5950413223140496,0.4493778411277737,37.27177556052793,0.20595801348210724,False
33,3.4,2,0.6198347107438017,0.44708460759882923,37.352038734040974,0.20395424736380838,False
34,3.4,2,0.5971074380165289,0.4431302895410336,37.490439866063824,0.204400380967287,False
35,4.4,3,0.6198347107438017,0.44114208405193506,37.56002705818228,0.20252380765731384,False
36,3.65,2,0.6115702479338843,0.4700287472045015,39.21566051450912,0.20348393754996796,False
37,4.65,3,0.6363636363636364,0.46707988251313626,39.2236326834688,0.20164009436204192,False
38,4.65,3,0.6136363636363636,0.4632667901002619,39.3570909179194,0.20207029462253917,False
39,5.65,4,0.6363636363636364,0.460652781332883,39.359911274038744,0.20033877854203913,False
40,3.65,2,0.621900826446281,0.497635499543204,40.02720196043229,0.18473841657512183,False
41,4.65,3,0.6466942148760331,0.49370067941117085,40.0061905063233,0.18356405627915454,False
42,4.65,3,0.6239669421487604,0.4898875869982965,40.1396487407739,0.1839942565396518,False
43,5.65,4,0.6466942148760331,0.48635561971719227,40.11548434438102,0.18288605211718237,False
44,4.9,3,0.6384297520661157,0.515776986696638,40.94780546561766,0.1823140006832576,False
45,5.9,4,0.6632231404958677,0.5113522814949013,40.89577359595431,0.1812637361179052,False
46,5.9,4,0.640495867768595,0.5076706750272985,41.024629822320406,0.18167910188666117,False
47,6.9,5,0.6632231404958677,0.503663670387931,40.9717715364224,0.18068500943337373,False
48,3.65,2,0.621900826446281,0.48039416495855564,37.96398200422833,0.20063822788936972,False
49,4.65,3,0.6466942148760331,0.47707510677597414,38.016656977126615,0.19889601718932215,False
50,4.65,3,0.6239669421487604,0.4732620143630998,38.150115211577216,0.1993262174498194,False
51,5.65,4,0.6466942148760331,0.4703033426901058,38.19455541963939,0.1976893247201028,False
52,4.9,3,0.6384297520661157,0.49897170547497627,38.96456173694725,0.19748340516872878,False
53,5.9,4,0.6632231404958677,0.495126492729159,38.980917582065636,0.19591005769008427,False
54,5.9,4,0.640495867768595,0.49144488626155614,39.10977380843173,0.19632542345884024,False
55,6.9,5,0.6632231404958677,0.4879787412477134,39.120744056330025,0.19484312028648015,False
56,4.9,3,0.6487603305785123,0.5258206097223356,40.596278659718244,0.18036646607166015,False
57,5.9,4,0.6735537190082644,0.5210495726921266,40.556368404051426,0.1793833578722249,False
58,5.9,4,0.6508264462809917,0.5173679662245237,40.68522463041752,0.17979872364098087,False
59,6.9,5,0.6735537190082644,0.5130377185452487,40.643679850916286,0.17886731046254944,False
60,6.15,4,0.6652892561983471,0.5421443864235744,40.6456361303473,0.17725038103470633,False
61,7.15,5,0.6900826446280992,0.5369882580709978,40.60541096751506,0.17640391260981741,False
62,7.15,5,0.6673553719008265,0.5334293718189816,40.72997198633563,0.17680543285294817,False
63,8.15,6,0.6900826446280992,0.5287206996908299,40.68832389791772,0.17600062302827366,False
64,2.4,1,0.5950413223140496,0.48053092239462547,36.18141771618811,0.196897393369136,False
65,3.4,2,0.6198347107438017,0.4994487997390044,35.51929200913485,0.19216788937317134,False
66,3.4,2,0.5971074380165289,0.49007055411296463,35.84753060604624,0.19402315056332742,False
67,4.4,3,0.6198347107438017,0.5079720918479608,35.220976785321376,0.18956520895314036,False
68,3.65,2,0.6115702479338843,0.4999778193370228,37.278554100981985,0.19393285182223927,False
69,4.65,3,0.6363636363636364,0.5175255261711597,36.60089229829513,0.18947813516709108,False
70,4.65,3,0.6136363636363636,0.508482217888907,36.917408088173964,0.19126713702902728,False
71,5.65,4,0.6363636363636364,0.525131576261457,36.275567244642104,0.18705795249278806,False
72,3.65,2,0.621900826446281,0.49974126356735277,36.39794466403154,0.1929382306517606,False
73,4.65,3,0.6466942148760331,0.517297418821835,35.75173319837863,0.18851903618127236,False
74,4.65,3,0.6239669421487604,0.5082541105395825,36.06824898825748,0.19030803804320856,False
75,5.65,4,0.6466942148760331,0.5249113346827987,35.4556894929986,0.1861319258857907,False
76,4.9,3,0.6384297520661157,0.5178075448627814,37.448164501231226,0.1902209642571593,False
77,5.9,4,0.6632231404958677,0.5341353402362322,36.788021712421525,0.18604785464408793,False
78,5.9,4,0.640495867768595,0.525403870170609,37.09362316471834,0.18777516678664702,False
79,6.9,5,0.6632231404958677,0.5409341948546839,36.46730318008606,0.18382268740969512,False
80,3.65,2,0.621900826446281,0.5103934284007092,36.914007783752965,0.19191318629910117,False
81,4.65,3,0.6466942148760331,0.5275691491968574,36.24936549239571,0.18753060055549362,False
82,4.65,3,0.6239669421487604,0.5185258409146047,36.56588128227456,0.18931960241742982,False
83,5.65,4,0.6466942148760331,0.5348288674586823,35.93616205273923,0.18517757424710776,False
84,4.9,3,0.6384297520661157,0.527851167888479,37.096637695331815,0.18827342964556185,False
85,5.9,4,0.6632231404958677,0.5438326314334575,36.44861652051865,0.18416747639840764,False
86,5.9,4,0.640495867768595,0.5351011613678343,36.75421797281546,0.18589478854096672,False
87,6.9,5,0.6632231404958677,0.5503082430120017,36.139211494579946,0.18200498843887083,False
88,4.9,3,0.6487603305785123,0.527851167888479,37.096637695331815,0.18827342964556185,False
89,5.9,4,0.6735537190082644,0.5438326314334575,36.44861652051865,0.18416747639840764,False
90,5.9,4,0.6508264462809917,0.5351011613678343,36.75421797281546,0.18589478854096672,False
91,6.9,5,0.6735537190082644,0.5503082430120017,36.139211494579946,0.18200498843887083,False
92,6.15,4,0.6652892561983471,0.5441049253426095,37.26667244059488,0.1848846906922666,False
93,7.15,5,0.6900826446280992,0.559011881520951,36.63458414676672,0.1810285605184607,False
94,7.15,5,0.6673553719008265,0.5505714604575153,36.92999888398697,0.18269829558960116,False
95,8.15,6,0.6900826446280992,0.5647889491747843,36.329160972430934,0.17903708558600404,False
96,4.8,2,0.5950413223140496,0.5475362884164793,33.836229905423224,0.1764552970443258,False
97,5.8,3,0.6198347107438017,0.5639724855378266,33.26096300617607,0.1724829077270578,False
98,5.8,3,0.5971074380165289,0.5545942399117868,33.58920160308747,0.17433816891721388,False
99,6.800000000000001,4,0.6198347107438017,0.570191360296825,33.04330238961113,0.17058326236581658,False
100,6.05,3,0.6115702479338843,0.564501505135845,35.020225098023204,0.17424787017612572,False
101,7.050000000000001,4,0.6363636363636364,0.5797447946200239,34.423217902584874,0.1704961885797673,False
102,7.050000000000001,4,0.6136363636363636,0.5707014863377713,34.73973369246372,0.1722851904417035,False
103,8.05,5,0.6363636363636364,0.5852053526948433,34.17298506947359,0.1687305557877858,False
104,6.05,3,0.621900826446281,0.564264949366175,34.13961566107277,0.17325324900564706,False
105,7.050000000000001,4,0.6466942148760331,0.5795166872706993,33.57405880266838,0.1695370895939486,False
106,7.050000000000001,4,0.6239669421487604,0.5704733789884467,33.890574592547225,0.1713260914558848,False
107,8.05,5,0.6466942148760331,0.584985111116185,33.35310731783008,0.16780452918078842,False
108,7.300000000000001,4,0.6384297520661157,0.5800268133116456,35.27049010552098,0.1712390176698355,False
109,8.3,5,0.6632231404958677,0.5942091166696184,34.68543953725301,0.16772045793908566,False
110,8.3,5,0.640495867768595,0.5854776466039953,34.99104098954983,0.16944777008164477,False
111,9.3,6,0.6632231404958677,0.599005512073624,34.434807077423166,0.16610620392819295,False
112,6.05,3,0.621900826446281,0.5749171141995314,34.65567878079418,0.1722282046529876,False
113,7.050000000000001,4,0.6466942148760331,0.5897884176457217,34.07169109668546,0.16854865396816981,False
114,7.050000000000001,4,0.6239669421487604,0.580745109363469,34.388206886564305,0.17033765583010602,False
115,8.05,5,0.6466942148760331,0.5949026438920685,33.83357987757071,0.16685017754210546,False
116,7.300000000000001,4,0.6384297520661157,0.5900704363373432,34.91896329962156,0.16929148305823802,False
117,8.3,5,0.6632231404958677,0.6039064078668437,34.34603434535013,0.16584007969340533,True
118,8.3,5,0.640495867768595,0.5951749378012205,34.65163579764695,0.16756739183596442,False
119,9.3,6,0.6632231404958677,0.6083795602309416,34.10671539191705,0.16428850495736863,True
120,7.300000000000001,4,0.6487603305785123,0.5900704363373432,34.91896329962156,0.16929148305823802,False
121,8.3,5,0.6735537190082644,0.6039064078668437,34.34603434535013,0.16584007969340533,True
122,8.3,5,0.6508264462809917,0.5951749378012205,34.65163579764695,0.16756739183596442,False
123,9.3,6,0.6735537190082644,0.6083795602309416,34.10671539191705,0.16428850495736863,True
124,8.55,5,0.6652892561983471,0.6041787017759956,35.16409026542637,0.1665572939872643,True
125,9.55,6,0.6900826446280992,0.617083198739891,34.602088044103816,0.1633120770369585,True
126,9.55,6,0.6673553719008265,0.6086427776764552,34.89750278132407,0.16498181210809895,True
127,10.55,7,0.6900826446280992,0.6209869980963391,34.36222926017652,0.16189210157164705,True
128,1.6,1,0.5950413223140496,0.49107982407327067,35.812206157435526,0.22640010980691747,False
129,2.6,2,0.6198347107438017,0.49765130883293623,35.58220419084723,0.22363922900992195,False
130,2.6,2,0.5971074380165289,0.49409587249440073,35.70664446269597,0.2240853626134006,False
131,3.6,3,0.6198347107438017,0.5003249453547521,35.488626912583676,0.22150575424463764,False
132,2.85,2,0.6115702479338843,0.5107363098726576,37.790895821123655,0.22316891919608153,False
133,3.85,3,0.6363636363636364,0.5163710813980713,37.49844072249608,0.22062204094936572,False
134,3.85,3,0.6136363636363636,0.5129426249287692,37.61843669892165,0.22105224120986297,False
135,4.85,4,0.6363636363636364,0.5183070141582683,37.34201312515027,0.2186661752470414,False
136,2.85,2,0.621900826446281,0.5641711187383133,37.698455288603476,0.2044233982212354,False
137,3.85,3,0.6466942148760331,0.5678975042328107,37.40930163756591,0.20254600286647834,False
138,3.85,3,0.6239669421487604,0.5644690477635086,37.52929761399148,0.2029762031269756,False
139,4.85,4,0.6466942148760331,0.5680566637918097,37.255947801769416,0.20121344882218464,False
140,4.1,3,0.6384297520661157,0.5802727272454306,38.690454546409924,0.2012959472705814,False
141,5.1,4,0.6632231404958677,0.5833153888088378,38.37706483996653,0.1995911328229075,False
142,5.1,4,0.640495867768595,0.5800051549764081,38.49292302410157,0.20000649859166347,False
143,6.1,5,0.6632231404958677,0.5829553135633359,38.19656402528324,0.19840149291487597,False
144,2.85,2,0.621900826446281,0.5248549508054141,36.40785449958829,0.2203232095354833,False
145,3.85,3,0.6466942148760331,0.5299854851546579,36.16479373387269,0.21787796377664595,False
146,3.85,3,0.6239669421487604,0.5265570286853558,36.28478971029826,0.2183081640371432,False
147,4.85,4,0.6466942148760331,0.5314519557163518,36.05435396372079,0.2160167214251051,False
148,4.1,3,0.6384297520661157,0.542038663911556,37.457218191666975,0.2164653517560526,False
149,5.1,4,0.6632231404958677,0.5463997414519933,37.18635387676644,0.2142374543950866,False
150,5.1,4,0.640495867768595,0.5430895076195638,37.302212060901475,0.21465282016384257,False
151,6.1,5,0.6632231404958677,0.547270187785053,37.04554342752314,0.2125596037679824,False
152,4.1,3,0.6487603305785123,0.5941295875634144,38.20546443528049,0.19934841265898393,False
153,5.1,4,0.6735537190082644,0.596694426357236,37.9087985257726,0.19771075457722717,False
154,5.1,4,0.6508264462809917,0.5933841925248063,38.02465670990764,0.19812612034598315,False
155,6.1,5,0.6735537190082644,0.5958883831934542,37.7439065882291,0.19658379394405165,False
156,5.35,4,0.6652892561983471,0.6080978822701333,38.337263775717744,0.1955777777397086,True
157,6.35,5,0.6900826446280992,0.6101116166139369,38.04609341851221,0.1941203960913196,True
158,6.35,5,0.6673553719008265,0.6069117239092549,38.15808966317607,0.19452191633445037,True
159,7.35,6,0.6900826446280992,0.6088987622536093,37.88209170822044,0.19314560704263062,True
160,4.0,2,0.5950413223140496,0.5593184256749504,33.42385510137674,0.20595801348210724,False
161,5.0,3,0.6198347107438017,0.5633625548197388,33.28231058130914,0.20395424736380838,False
162,5.0,3,0.5971074380165289,0.5598071184812033,33.40675085315788,0.204400380967287,False
163,6.0,4,0.6198347107438017,0.5636893611277405,33.27087236052908,0.20252380765731384,False
164,5.25,3,0.6115702479338843,0.5764475558594603,35.49100221158556,0.20348393754996796,False
165,6.25,4,0.6363636363636364,0.5797354971710595,35.280686170441484,0.20164009436204192,False
166,6.25,4,0.6136363636363636,0.5763070407017575,35.400682146867055,0.20207029462253917,False
167,7.25,5,0.6363636363636364,0.5794864500770156,35.20073286799411,0.20033877854203913,False
